Title	ISBN	Subjects
Jo's girls	9780807062111	|Women's studies||Women In American Literature||Girls||Juvenile Literature||Women's Studies - General||Fiction||Literature - Classics / Criticism||English||Gay/Lesbian Nonfiction||USA||Essays||General||Social Science / Women's Studies||Women authors||Anthologies (multiple authors)||American literature||Literary collections||Sex role|
Blake or The Huts of America	9780807064191	|Fiction - Historical||Fiction||Historical - General||Social Science / African-American Studies|
Crusader's Cross	9780743277204	|Mystery & Detective - Hard-Boiled||Fiction||Fiction - Mystery/ Detective||Suspense||Fiction / General||General|
The Prop	9780743284653	|Tucson (Ariz.)||Mystery & Detective - General||Fiction||Fiction - Mystery/ Detective||Mystery/Suspense||Women poker players||Fiction / Mystery & Detective / General||Gambling - Card Games||Mystery fiction|
Avatar Book One of Two	9780743400503	|Fantasy||Science Fiction||Science Fiction - High Tech||American Science Fiction And Fantasy||Fiction||Fiction - Science Fiction||Science Fiction - Space Opera||Science Fiction - Adventure||Science Fiction - Star Trek||Fiction / Science Fiction / High Tech||Movie-TV Tie-In - General|
Chalk Whispers	9780743412070	|Mystery & Detective - Series||Fiction||Fiction - Mystery/ Detective||Mystery/Suspense||Mystery & Detective - Police Procedural||Fiction / General|
All the Trouble You Need 	9780743422390	|Modern fiction||Literary||Fiction - General||Fiction||General||Love & Romance||College teachers||Family & Relationships-Love & Romance||Fiction / General||Man-woman relationships|
The Dead and the Damned	9780743443296	|Science Fiction - General||Fiction - Fantasy||Fiction||Fantasy - General|
Hit Time	9780743453219	|Modern fiction||Suspense||Literary||Fiction - Mystery/ Detective||Fiction||Mystery & Detective - Series||Mystery & Detective - Women Sleuths||Fiction / Mystery & Detective / General|
Hollywood Wives	9780743467353	|Fiction - General||Fiction||Fiction / General||General|
Vespers	9780743470759	|Mystery & Detective - Police Procedural||Fiction - Mystery/ Detective||Fiction||Fiction / Mystery & Detective / Police Procedural||General|
Fallen Angels	9780743471817	|Science Fiction||Fiction - Science Fiction||Fantasy - Epic||Fiction||Fantasy - Historical||Science Fiction - General||Fiction / Science Fiction / General|
Murder By Masquerade (Murder by)	9780743487054	|Crime & mystery||Mystery & Detective - General||Fiction - Mystery/ Detective||Fiction||Fiction / Mystery & Detective / General||General|
The Helmsman	9780743498135	|General & Literary Fiction||Science fiction||Fiction - Science Fiction||Fiction||Science Fiction - General||Fiction / Science Fiction / General|
Wild card	9780743505000	|Espionage/Intrigue||Action & Adventure||Abridged Audio - Fiction/General||Fiction||Fiction / Espionage||Audiobooks|
Memorial Day (Ay Spoken Word - Flynn)	9780743527958	|Thrillers||Espionage/Intrigue||Abridged Audio - Fiction/General||Fiction||Fiction / General||Audiobooks||General|
Above The Bright Blue Sky	9780749082949	|Sagas||English Historical Fiction||Fiction||Fiction - Historical||Historical - General||Literature & Fiction / Genre Fiction||Fiction / Historical||Fiction - General||England||Evacuation of civilians||Leeds||Social aspects||World War, 1939-1945||Yorkshire Dales|
Last Reminder (A DCI Charlie Priest Mystery) (A Dci Charlie Priest Mystery Series) (A Dci Charlie Priest Mystery Series)	9780749083199	|Crime & mystery||Mystery/Suspense||English Mystery & Suspense Fiction||Fiction||Fiction - Mystery/ Detective||Mystery & Detective - Police Procedural||Mystery & Detective - Traditional British||Mystery & Thrillers / Mystery||Fiction / Mystery & Detective / Police Procedural||Mystery & Detective - General|
The Best British Mysteries 2005 (Best British Mysteries)	9780749083366	|Crime & mystery||Short stories||Mystery & Detective - Short Stories||Fiction||Fiction - Mystery/ Detective||Mystery/Suspense||Mystery & Detective - Anthologies||Fiction / Mystery & Detective / Short Stories||Mystery & Detective - Traditional British|
A Cotswald Ordeal	9780749083496	|Crime & mystery||Mystery/Suspense||English Mystery & Suspense Fiction||Fiction||Fiction - Mystery/ Detective||Mystery & Detective - Traditional British||Mystery & Detective - Women Sleuths||Fiction / Mystery & Detective / General||Mystery & Detective - General||Cotswold Hills Region||Detective and mystery stories||England||Housesitting|
Nick of the Woods	9780808402350	|Literary Criticism||Frontier and pioneer life||Fiction - General||General||Non-Classifiable||Adventure fiction||Fiction||Kentucky|
Another Life and The House on the Embankment (European Classics)	9780810115705	|Modern fiction||Short Stories (single author)||Russian Novel And Short Story||Fiction - General||Fiction||Fiction / Literary||Classics|
Kitty and Her Sisters	9780752847535	|General & Literary Fiction||Romance - General||Fiction / Romance / General||Fiction||Fiction - Romance||Romance: Modern|
Old House on the Corner	9780752865751	|Modern fiction||Romance: Modern||Fiction||Fiction - Romance||Sagas||ENGLAND_FICTION||FICTION_GENERAL||Fiction / Family Saga||Fiction / General||Romance - General|
Final Lap (Traces)	9780753460054	|Juvenile Mysteries||Mysteries (Young Adult)||Juvenile Fiction||Children's Books - Young Adult Fiction||Children: Young Adult (Gr. 7-9)||Mysteries, Espionage, & Detective Stories||Science & Technology||Science Fiction, Fantasy, & Magic||Juvenile Fiction / Mysteries & Detective Stories||Children: Grades 4-6||Fiction||Forensic sciences||Murder||Mystery and detective stories||Children's 12-Up - Fiction - Mystery|
Form Line of Battle	9780754009139	|Historical fiction||Modern fiction||Action & Adventure||Historical - General||Sea Stories||Sea & Ocean||Unabridged Audio - Fiction/General|
Dark Menace	9780754056188	|Modern fiction||Romance||Romance - General||Audio Adult: Books On Tape||Fiction||Abridged Audio - Fiction/Romance||Suspense||Audio - Romance||General|
Saint Errant	9780754085454	|Fiction||Mystery/Suspense||FIC022030||FIC||Mystery & Detective - Traditional British||Crime & mystery|
The Skewed Throne	9780756403317	|Science Fiction And Fantasy||Fiction||Fiction - Fantasy||Fantasy||Fantasy - General||Fiction / Fantasy / General||Female assassins||Social classes|
The Blood Books, Vol. 1 (Blood Price / Blood Trail)	9780756403874	|Mystery & Detective - General||Fiction - Fantasy||American Science Fiction And Fantasy||Fiction||Fantasy||Horror - General||Fantasy - Contemporary||Fantasy - Dark/Horror||Fiction / Fantasy / General||Fantasy - Anthologies|
Portable Pets	9780810956667	|Board books||Insects & spiders||Specimens||Children: Babies & Toddlers||Juvenile Nonfiction||Children's Books/Baby-Preschool||JNF||JNF003120||Toy and movable books||Animals - Insects, Spiders, etc||Juvenile Fiction / Animals / General||Bumblebees||Fiction|
Cronopios and Famas	9780811214025	|Modern fiction||Literature: Classics||Cortazar, Julio - Prose & Criticism||Fiction||Fiction - General||General||Literary|
Chesapeake Song	9780758200198	|Fiction - General||Fiction||FIC000000||FIC||General||Fiction / General|
Confessions Of A Wicked Woman	9780758210807	|Romance||American Light Romantic Fiction||Fiction||Fiction - Romance||Romance: Modern||Romance - Contemporary||Fiction / Romance / Contemporary|
Night of the Cotillion (Janet Dailey Americana)	9780759238190	|Romance||Romance: Modern||Fiction||Fiction - Romance||Romance - General|
Summer Mahogany (Janet Dailey Americana)	9780759238305	|Romance||Romance: Modern||Fiction||Fiction - Romance||Romance - General|
The Dragon Tamer	9780759550278	|Romance - Historical||Fiction - Romance||Fiction||Fiction / Romance / General||Romance - General|
Bury the Innocent	9780759624610	|Crime & mystery||Mystery & Detective - Police Procedural||Fiction||Fiction - Mystery/ Detective||Mystery/Suspense||Fiction / Mystery & Detective / Police Procedural||Fiction-Mystery & Detective - General||Mystery & Detective - General|
Looking for Mozart	9780759644250	|Crime & mystery||Fiction - Mystery/ Detective||Fiction||Mystery & Detective - General||Fiction / Mystery & Detective / General|
Abner's Story	9780759648241	|Historical fiction||Fiction - Historical||Fiction||Historical - General||Fiction / Historical|
The Awful Abbey (Deedra Masefield Mysteries)	9780759680760	|Crime & mystery||Fiction - Mystery/ Detective||Fiction||Mystery & Detective - General|
His First Wife	9780759683648	|Modern fiction||Christian - Biblical||Religious - Biblical||Fiction - Religious||Fiction|
Peanuts Treasury	9780760734025	|Brown, Charlie (Fictitious character)||Comic books, strips, etc||Fiction||Peanuts (Comic strip)|
Cobweb (Jubilee Mystery Ser.)	9780812824148	|Mystery & Detective - General||Mystery/Suspense||Fiction|
Consent	9780812966824	|Literary||Fiction - General||Fiction||General||Fiction / General|
Has Anyone Seen My Emily Greene?	9780763613846	|Picture books||Children's Books/All Ages||Children: Kindergarten||Family - General||Juvenile Fiction / Family / General||Family - Parents||Imagination & Play||Fathers and daughters||Fiction||Hide-and-seek||Juvenile Fiction|
The Amazing Spider-Man Pop-Up	9780763632632	|Movie Tie - In||Comics & Graphic Novels - General||Juvenile Fiction||Children's Books/Ages 9-12 Fiction||Children: Kindergarten||Comics & Graphic Novels - Superheroes||Juvenile Fiction / Comics & Graphic Novels||Adventure and adventurers||Cartoons and comics||Fiction||Specimens||Toy and movable books|
The Witches of Widdershins Academy (Beatrice Bailey's Adventures)	9780764135781	|Fantasy||General||Juvenile Fiction||Children's Books - Young Adult Fiction||Children: Grades 4-6||Action & Adventure - General||Juvenile Fiction / Action & Adventure||Children's Books/Ages 9-12 Fiction||School & Education||Science Fiction, Fantasy, & Magic||Fiction||Witches|
Selected Short Stories of Padraic Colum (Irish Studies)	9780815602026	|Ireland||Social life and customs||Fiction|
Lord of the Silent Kingdom (Instrumentalities of the Night)	9780765306852	|Science Fiction And Fantasy||Fiction||Fiction - Fantasy||Fantasy||Fantasy - Epic||Fantasy - General||Fiction / Fantasy / General||Fantasy fiction|
Spirit Gate	9780765310552	|Science Fiction And Fantasy||Fiction||Fiction - Fantasy||Fantasy||Fantasy - Epic||Fiction / Fantasy / Epic||Fantasy fiction||Imaginary wars and battles|
Alice in Wonderland	9780766607729	|Juvenile Fiction||Children: Grades 2-3||Classics||Fantasy|
Outside In	9780767927499	|Popular American Fiction||Fiction||Fiction - General||General||Fiction / General||Actresses||Fame|
