Title	ISBN	Subjects
The Story of the Internet	9780582430471	|English language readers||Internet & communications||Language readers||Internet||Fiction||Foreign Language - Dictionaries / Phrase Books||English||Literature: Classics||English as a Second Language||Foreign Language Study / English as a Second Language||History||Classics||Juvenile literature|
Happy New Year, Pooh!	9780590059992	|Fiction||Juvenile fiction||New year||Teddy bears||Toys||Winnie the Pooh (Fictitious character)|
I Have A Dream	9780590205177	|Fiction||Juvenile Nonfiction||Children's Books/Ages 4-8 Nonfiction||Children: Grades 2-3||USA||People & Places - United States - African-American||Social Science - Politics & Government||Juvenile Nonfiction / Ethnic / African-American||Children: Kindergarten||History - United States/20th Century||Juvenile literature||Race relations||United States||Biography & Autobiography - Cultural Heritage|
Happily Ever After	9780590335515	|General||Homosexuality||Children: Young Adult (Gr. 7-9)||Fiction||Children's Books - Young Adult||Adolescence||Friendship|
Fighting Back Cheerleaders	9780590416283	|Fiction||Kidnapping||Cheers and cheerleading|
Ghost Abbey (Point)	9780590416931	|General||England||Fiction||Children's Books - Young Adult||Ghosts||Children: Young Adult (Gr. 7-9)|
Little Polar Bear and the Big Balloon	9780735820777	|Fiction||Preschool Picture Story Books||Juvenile Fiction||Children's Books/Ages 4-8 Fiction||Children: Kindergarten||Action & Adventure - General||Animals - Bears||Animals - Birds|
The Colorful Storm (Jellybean Books(R))	9780736411707	|Fireworks||Toys||Children: Grades 1-2||Animals - Bears||Juvenile Fiction||Children's Books/Baby-Preschool||Teddy bears||Fiction||Juvenile Fiction / Animals / Bears|
Chicken Little (Read-Aloud Storybook)	9780736423298	|Heroes||Movie Tie - In||Extraterrestrial beings||Preschool Picture Story Books||Juvenile Fiction||Children's Books/Ages 4-8 Fiction||Children: Grades 1-2||Children: Kindergarten||Humorous Stories||Fiction||Action & Adventure - General||Animals - General||Juvenile Fiction / Movie or Television Tie-In||Chickens|
My Best Friend is Belle (Disney Princess (Random House Hardcover))	9780736423908	|Social Issues - General||Royalty (kings  queens  princes  princesses  knights  etc.)||Children: Kindergarten||Children's Books/Ages 4-8 Fiction||Social Issues - Friendship||Juvenile Fiction / Movie or Television Tie-In||Movie Tie - In||Fiction||Friendship||Juvenile Fiction||Princesses|
Oh, Brother! (Pictureback) (Ratatouille movie tie in)	9780736424325	|Children: Kindergarten||Juvenile Fiction||Children's Books/Ages 4-8 Fiction||Animals - Mice  Hamsters  Guinea Pigs  etc.||Family - Siblings||Humorous Stories||Movie Tie - In||Juvenile Fiction / Movie or Television Tie-In||Bedtime & Dreams||Brothers||Fiction||Rats||Restaurants|
Fantasy Stories of George Macdonald (4 vols., The Wise Woman, The Golden Key, The Gray Wolf, The Light Princess)	9780802818584	|Fiction||19th century fiction||Modern fiction||Inspirational|
Clare and Francis	9780802852694	|Fiction||of Assisi, Saint,||Juvenile Nonfiction||Children: Grades 3-4||Juvenile Religion||Juvenile literature||Children's Books/Ages 4-8 Nonfiction||Italy||Francis,||Christian saints||Biography & Autobiography - Religious||Religion - Christianity - General||Assisi||Saints||1182-1226||Biography||Clare,|
The Queen of Atlantis (Bison Frontiers of Imagination)	9780803269163	|Science fiction||Fiction - Fantasy||Fantasy - General||Fiction||Fantasy||Science Fiction - General||Fantasy - Historical||Fiction / General||Action & Adventure|
Finding Love for Lindsay	9780803498037	|American Light Romantic Fiction||Fiction||Fiction - General||Romance: Modern||General||Romance - Contemporary|
Treasure Box of Fairy Tales	9780803700796	|Folklore||Germany||Witches||Fiction||Fairy tales|
The Ballad Of Billy Badass & the Rose of Turkestan	9780738803104	|Fiction - Fantasy||Fiction||Fantasy||FIC||FIC009000||Fantasy - General|
Christopher and Miguel	9780738814490	|Adventure / thriller||Modern fiction||General||Fiction - General||Fiction||Action & Adventure|
Therapy (Jonathan Kellerman)	9780739318188	|General||Abridged Audio - Fiction/Mystery||Fiction||Suspense||Thrillers||Fiction / General|
